entry_day,day_name,hold_bars,side,filter_mode,trades,avg_r,total_r,win_rate,asset_coverage,n_yr_pass,n_yr_counted,yr_2022,yr_2023,yr_2024,yr_2025,pass_cost_floor,zone_pass_rate,stability_zone_pass,stability_pass
5,Sat,1,SHORT,none,6322,-0.04154677969643679,-262.6587412408734,0.47706422018348627,0.23809523809523808,0,2,,,False,False,False,0.0,False,False
5,Sat,2,LONG,ema200_price,1601,0.07611093626416471,121.8536089589277,0.5202998126171143,0.660377358490566,1,2,,,True,False,False,0.0,False,False
5,Sat,2,LONG,none,6322,-0.02729142471346429,-172.53638703852124,0.46852261942423284,0.25396825396825395,1,2,,,True,False,False,0.0,False,False
5,Sat,2,SHORT,ema200_price,4721,0.062357550518417466,294.38999599744886,0.5433170938360516,0.8888888888888888,1,2,,,False,True,False,0.0,False,False
5,Sat,2,SHORT,none,6322,0.02729142471346429,172.53638703852124,0.5260993356532743,0.746031746031746,1,2,,,False,True,False,0.0,False,False
5,Sat,3,LONG,ema200_price,1601,0.018347103174153,29.373712181818952,0.48594628357276703,0.39622641509433965,1,2,,,True,False,False,0.0,False,False
5,Sat,3,LONG,none,6322,-0.03596870955804833,-227.39418182598155,0.46488453021195825,0.30158730158730157,1,2,,,True,False,False,0.0,False,False
5,Sat,3,SHORT,ema200_price,4721,0.05438845456636313,256.76789400780035,0.5363270493539505,0.7936507936507936,1,2,,,False,True,False,0.0,False,False
5,Sat,3,SHORT,none,6322,0.03596870955804833,227.39418182598155,0.530370136032901,0.6984126984126984,1,2,,,False,True,False,0.0,False,False
5,Sat,4,LONG,ema200_price,1601,-0.06242109602831981,-99.93617474134001,0.443472829481574,0.24528301886792453,1,2,,,True,False,False,0.0,False,False
5,Sat,4,LONG,none,6322,-0.06585023803197702,-416.3052048381588,0.44542866181588103,0.2222222222222222,1,2,,,True,False,False,0.0,False,False
5,Sat,4,SHORT,ema200_price,4721,0.06701313918593918,316.36903009681885,0.5488244016098284,0.8095238095238095,1,2,,,False,True,False,0.0,False,False
5,Sat,4,SHORT,none,6322,0.06585023803197702,416.3052048381588,0.5506168933881683,0.7777777777777778,1,2,,,False,True,False,0.0,False,False
5,Sat,5,LONG,ema200_price,1599,-0.015651439654548217,-25.0266520076226,0.466541588492808,0.2830188679245283,1,2,,,True,False,False,0.0,False,False
5,Sat,5,LONG,none,6259,-0.03222028751067596,-201.66677952932082,0.4623741811791021,0.30158730158730157,1,2,,,True,False,False,0.0,False,False
5,Sat,5,SHORT,ema200_price,4660,0.03790560676431291,176.64012752169816,0.5324034334763948,0.6507936507936508,1,2,,,False,True,False,0.3333333333333333,False,False
5,Sat,5,SHORT,none,6259,0.03222028751067596,201.66677952932082,0.5321936411567343,0.6984126984126984,1,2,,,False,True,False,0.0,False,False
6,Sun,1,LONG,ema200_price,1586,0.03275193145738952,51.944563291419776,0.5050441361916772,0.6415094339622641,1,2,,,True,False,False,0.0,False,False
6,Sun,1,LONG,none,6324,-0.06754608867867501,-427.16146480394076,0.4117647058823529,0.09523809523809523,1,2,,,True,False,False,0.0,False,False
6,Sun,1,SHORT,ema200_price,4738,0.10111988773646272,479.10602809536033,0.6112283663993247,0.9682539682539683,2,2,,,True,True,False,0.0,False,False
6,Sun,1,SHORT,none,6324,0.06754608867867501,427.16146480394076,0.5812776723592663,0.9047619047619048,1,2,,,False,True,False,0.0,False,False
6,Sun,2,LONG,ema200_price,1586,-0.02256990295942042,-35.79586609364079,0.4672131147540984,0.33962264150943394,1,2,,,True,False,False,0.0,False,False
6,Sun,2,LONG,none,6324,-0.07794031926234361,-492.89457901506097,0.4411764705882353,0.15873015873015872,1,2,,,True,False,False,0.0,False,False
6,Sun,2,SHORT,ema200_price,4738,0.09647503438611651,457.09871292142003,0.5574081891093289,0.8571428571428571,1,2,,,False,True,False,0.0,False,False
6,Sun,2,SHORT,none,6324,0.07794031926234361,492.89457901506097,0.5510752688172043,0.8412698412698413,1,2,,,False,True,False,0.0,False,False
6,Sun,3,LONG,ema200_price,1586,-0.09996328171738558,-158.54176480377353,0.4129886506935687,0.20754716981132076,0,2,,,False,False,False,0.0,False,False
6,Sun,3,LONG,none,6324,-0.1091056424568913,-689.9840828973806,0.4239405439595193,0.12698412698412698,0,2,,,False,False,False,0.0,False,False
6,Sun,3,SHORT,ema200_price,4738,0.11216595991844804,531.4423180936068,0.5669058674546222,0.8571428571428571,2,2,,,True,True,False,0.0,False,False
6,Sun,3,SHORT,none,6324,0.1091056424568913,689.9840828973806,0.5716318785578748,0.873015873015873,2,2,,,True,True,False,0.0,False,False
6,Sun,4,LONG,ema200_price,1584,-0.05175968375827428,-81.98733907310645,0.41792929292929293,0.24528301886792453,0,2,,,False,False,False,0.0,False,False
6,Sun,4,LONG,none,6261,-0.06793786779797988,-425.35899028315197,0.43794920939147103,0.2857142857142857,0,2,,,False,False,False,0.0,False,False
6,Sun,4,SHORT,ema200_price,4677,0.07341707316870764,343.3716512100456,0.5471456061577935,0.6984126984126984,2,2,,,True,True,False,0.0,False,False
6,Sun,4,SHORT,none,6261,0.06793786779797988,425.35899028315197,0.5558217537134643,0.7142857142857143,2,2,,,True,True,False,0.0,False,False
6,Sun,5,LONG,ema200_price,1584,-0.06612914511333183,-104.74856585951763,0.4172979797979798,0.2830188679245283,1,2,,,True,False,False,0.0,False,False
6,Sun,5,LONG,none,6261,-0.12941241816871246,-810.2511501543087,0.40536655486344036,0.14285714285714285,0,2,,,False,False,False,0.0,False,False
6,Sun,5,SHORT,ema200_price,4677,0.15084511103159953,705.502584294791,0.5952533675432969,0.8253968253968254,2,2,,,True,True,True,0.3333333333333333,False,False
6,Sun,5,SHORT,none,6261,0.12941241816871246,810.2511501543087,0.5920779428206356,0.8571428571428571,2,2,,,True,True,False,0.0,False,False
