pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
B,2025-05-16,2025-06-06,ZEC_USDT,ConsecDownDays,40.36,48.17,20,1.2848,11.954,time_exit,MIXED,0.25
B,2025-05-19,2025-06-09,TRX_USDT,ConsecDownDays,0.2667,0.287,20,1.1024,10.2567,time_exit,MIXED,0.25
B,2025-06-15,2025-06-21,AAVE_USDT,ConsecDownDays,274.97,232.54714286,5,-1.0,-9.3594,stop,MIXED,0.25
B,2025-06-14,2025-06-22,XRP_USDT,ConsecDownDays,2.1394,1.95397143,7,-1.0,-9.3594,stop,MIXED,0.25
B,2025-06-15,2025-06-22,ZEC_USDT,ConsecDownDays,43.45,36.62857143,6,-1.0,-9.3594,stop,MIXED,0.25
B,2025-06-20,2025-07-11,VIRTUAL_USDT,ConsecDownDays,1.5462,1.7134,20,0.3974,3.7195,time_exit,MIXED,0.25
B,2025-06-21,2025-07-12,AAVE_USDT,ConsecDownDays,234.74,302.19,20,1.493,13.9388,time_exit,MIXED,0.25
B,2025-06-21,2025-07-12,BNB_USDT,ConsecDownDays,628.97,685.86,20,1.8454,17.2284,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,AAVE_USDT,ConsecDownDays,255.36,345.61,20,2.5104,23.5389,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,ADA_USDT,ConsecDownDays,0.7141,0.9314,20,1.8926,17.7461,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,BNB_USDT,ConsecDownDays,757.08,900.21,20,1.8274,17.1349,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,BTC_USDT,ConsecDownDays,113297.93,116935.99,20,0.6827,6.4015,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,HBAR_USDT,ConsecDownDays,0.24113,0.25692,20,0.3218,3.0176,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,LINK_USDT,ConsecDownDays,16.07,26.79,20,4.054,38.0123,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,SEI_USDT,ConsecDownDays,0.284,0.3238,20,0.7857,7.3668,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,SOL_USDT,ConsecDownDays,162.71,200.69,20,1.6522,15.492,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,SUI_USDT,ConsecDownDays,3.4592,3.7603,20,0.4645,4.3551,time_exit,MIXED,0.25
B,2025-08-01,2025-08-22,UNI_USDT,ConsecDownDays,9.037,11.438,20,1.4349,13.4543,time_exit,MIXED,0.25
B,2025-08-17,2025-09-07,BCH_USDT,ConsecDownDays,582.0,603.2,20,0.36,3.3757,time_exit,MIXED,0.25
B,2025-08-31,2025-09-21,XRP_USDT,ConsecDownDays,2.7757,2.9701,20,0.6032,5.877,time_exit,MIXED,0.25
