symbol,base,bars,first_date,last_date,excluded,included
AUCTION/USDT,AUCTION,1673,2021-10-29,2026-05-28,,True
AUDIO/USDT,AUDIO,2044,2020-10-23,2026-05-28,,True
AVA/USDT,AVA,2012,2020-11-24,2026-05-28,,True
AVAX/USDT,AVAX,2075,2020-09-22,2026-05-28,,True
AVNT/USDT,AVNT,256,2025-09-15,2026-05-28,insufficient_bars,False
AWE/USDT,AWE,373,2025-05-21,2026-05-28,insufficient_bars,False
AXL/USDT,AXL,819,2024-03-01,2026-05-28,insufficient_bars,False
AXS/USDT,AXS,2032,2020-11-04,2026-05-28,,True
BABY/USDT,BABY,414,2025-04-10,2026-05-28,insufficient_bars,False
BANANA/USDT,BANANA,678,2024-07-20,2026-05-28,insufficient_bars,False
BANANAS31/USDT,BANANAS31,428,2025-03-27,2026-05-28,insufficient_bars,False
BAND/USDT,BAND,2200,2020-05-20,2026-05-28,,True
BANK/USDT,BANK,197,2025-11-13,2026-05-28,insufficient_bars,False
BAR/USDT,BAR,1864,2021-04-21,2026-05-28,,True
BARD/USDT,BARD,253,2025-09-18,2026-05-28,insufficient_bars,False
BAT/USDT,BAT,2200,2020-05-20,2026-05-28,,True
BB/USDT,BB,746,2024-05-13,2026-05-28,insufficient_bars,False
BCH/USDT,BCH,2200,2020-05-20,2026-05-28,,True
BEAMX/USDT,BEAMX,927,2023-11-14,2026-05-28,insufficient_bars,False
BEL/USDT,BEL,2082,2020-09-15,2026-05-28,,True
BERA/USDT,BERA,477,2025-02-06,2026-05-28,insufficient_bars,False
BFUSD/USDT,BFUSD,289,2025-08-13,2026-05-28,insufficient_bars,False
BICO/USDT,BICO,1632,2021-12-09,2026-05-28,,True
BIGTIME/USDT,BIGTIME,413,2025-04-11,2026-05-28,insufficient_bars,False
BIO/USDT,BIO,511,2025-01-03,2026-05-28,insufficient_bars,False
BLUR/USDT,BLUR,917,2023-11-24,2026-05-28,insufficient_bars,False
BMT/USDT,BMT,437,2025-03-18,2026-05-28,insufficient_bars,False
BNB/USDT,BNB,2200,2020-05-20,2026-05-28,,True
BNSOL/USDT,BNSOL,589,2024-10-17,2026-05-28,insufficient_bars,False
BNT/USDT,BNT,2200,2020-05-20,2026-05-28,,True
BOME/USDT,BOME,804,2024-03-16,2026-05-28,insufficient_bars,False
BONK/USDT,BONK,896,2023-12-15,2026-05-28,insufficient_bars,False
BREV/USDT,BREV,143,2026-01-06,2026-05-28,insufficient_bars,False
BROCCOLI714/USDT,BROCCOLI714,428,2025-03-27,2026-05-28,insufficient_bars,False
BTC/USDT,BTC,2200,2020-05-20,2026-05-28,,True
BTTC/USDT,BTTC,1585,2022-01-25,2026-05-28,,True
C/USDT,C,315,2025-07-18,2026-05-28,insufficient_bars,False
C98/USDT,C98,1771,2021-07-23,2026-05-28,,True
CAKE/USDT,CAKE,1925,2021-02-19,2026-05-28,,True
CATI/USDT,CATI,616,2024-09-20,2026-05-28,insufficient_bars,False
CELO/USDT,CELO,1970,2021-01-05,2026-05-28,,True
CELR/USDT,CELR,2200,2020-05-20,2026-05-28,,True
CETUS/USDT,CETUS,569,2024-11-06,2026-05-28,insufficient_bars,False
CFG/USDT,CFG,74,2026-03-16,2026-05-28,insufficient_bars,False
CFX/USDT,CFX,1887,2021-03-29,2026-05-28,,True
CGPT/USDT,CGPT,504,2025-01-10,2026-05-28,insufficient_bars,False
CHIP/USDT,CHIP,38,2026-04-21,2026-05-28,insufficient_bars,False
CHR/USDT,CHR,2200,2020-05-20,2026-05-28,,True
CHZ/USDT,CHZ,2200,2020-05-20,2026-05-28,,True
CITY/USDT,CITY,1661,2021-11-10,2026-05-28,,True
CKB/USDT,CKB,1949,2021-01-26,2026-05-28,,True
COMP/USDT,COMP,2164,2020-06-25,2026-05-28,,True
COOKIE/USDT,COOKIE,504,2025-01-10,2026-05-28,insufficient_bars,False
COS/USDT,COS,2200,2020-05-20,2026-05-28,,True
COTI/USDT,COTI,2200,2020-05-20,2026-05-28,,True
COW/USDT,COW,569,2024-11-06,2026-05-28,insufficient_bars,False
CRV/USDT,CRV,2113,2020-08-15,2026-05-28,,True
CTK/USDT,CTK,2040,2020-10-27,2026-05-28,,True
CTSI/USDT,CTSI,2200,2020-05-20,2026-05-28,,True
CVC/USDT,CVC,2047,2020-05-20,2026-05-28,,True
CVX/USDT,CVX,1618,2021-12-23,2026-05-28,,True
CYBER/USDT,CYBER,1018,2023-08-15,2026-05-28,insufficient_bars,False
D/USDT,D,505,2025-01-09,2026-05-28,insufficient_bars,False
DASH/USDT,DASH,2200,2020-05-20,2026-05-28,,True
DCR/USDT,DCR,2129,2020-07-30,2026-05-28,,True
