symbol,entry_time,exit_time,entry_price,exit_price,initial_stop,initial_risk,exit_reason,bars_held,net_r,mae_r,mfe_r,month
SC/USDT,2024-11-13 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.005165129481780125,0.006717930072205652,0.0045981653360211245,0.0005669641457590012,chandelier_stop,27,2.73879856784731,-0.7410159618077671,5.689725783102854,2024-12
AVAX/USDT,2024-11-12 00:00:00+00:00,2024-12-09 00:00:00+00:00,32.85400919156011,44.35098488840447,29.36608272404099,3.4879264675191215,chandelier_stop,28,3.296220778708641,-0.6490988880194041,6.575824066828367,2024-12
MTL/USDT,2024-11-17 00:00:00+00:00,2024-12-09 00:00:00+00:00,1.1998920827676882,1.395,1.0150287449091933,0.18486333785849499,midline_exit,23,1.0554170420835882,-0.4538059505985115,3.365231443070172,2024-12
ICX/USDT,2024-11-17 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.15876054938165604,0.23829952187685682,0.13924494443490423,0.019515604946751804,chandelier_stop,23,4.07566010442527,-0.22856321358352083,6.975927776248778,2024-12
IOST/USDT,2024-11-17 00:00:00+00:00,2024-12-09 00:00:00+00:00,0.005953458345192311,0.009477172228646004,0.005205125106730798,0.0007483332384615132,chandelier_stop,23,4.708749661712263,-0.39482189218233815,8.29649324086116,2024-12
DEXE/USDT,2024-12-03 00:00:00+00:00,2024-12-15 00:00:00+00:00,9.67094663493044,8.478519714373961,8.478519714373961,1.1924269205564788,initial_stop,13,-0.9999999999999997,-1.1916425320784572,1.527182365372728,2024-12
DUSK/USDT,2024-11-28 00:00:00+00:00,2024-12-18 00:00:00+00:00,0.22837338646597707,0.2139,0.19056047819379368,0.037812908272183386,midline_exit,21,-0.38276311258037354,-0.49383629345733054,2.9124079201026776,2024-12
FET/USDT,2024-11-29 00:00:00+00:00,2024-12-18 00:00:00+00:00,1.6123333243241975,1.432,1.3349999189177777,0.2773334054064199,midline_exit,20,-0.650240183146805,-0.6899036343775714,2.100961024950925,2024-12
NEAR/USDT,2024-11-17 00:00:00+00:00,2024-12-18 00:00:00+00:00,5.647714402210786,5.687,4.781429619897074,0.8662847823137115,midline_exit,32,0.045349518531640876,-0.4013857905735056,2.9970347520764937,2024-12
ETH/USDT,2024-11-11 00:00:00+00:00,2024-12-19 00:00:00+00:00,3124.5700167575096,3417.01,2861.9301508175845,262.6398659399251,midline_exit,39,1.1134638003104291,-0.41909104835854005,3.743643333519633,2024-12
ZEC/USDT,2024-11-25 00:00:00+00:00,2024-12-19 00:00:00+00:00,49.175829480481646,48.29,41.22246532433481,7.953364156146832,midline_exit,25,-0.11137796070824005,-0.6721469526011924,3.79137305013419,2024-12
SOL/USDT,2024-11-09 00:00:00+00:00,2024-12-19 00:00:00+00:00,195.3007576474322,193.81,174.98681882688973,20.313938820542457,midline_exit,41,-0.07338594748176865,-0.4086237396283805,3.401075633973129,2024-12
BTC/USDT,2024-10-21 00:00:00+00:00,2024-12-19 00:00:00+00:00,68507.29735930466,96528.86099662626,64565.67623374192,3941.62112556274,chandelier_stop,60,7.109146908005014,-0.8238481720743899,10.108963132524975,2024-12
ETC/USDT,2024-11-28 00:00:00+00:00,2024-12-19 00:00:00+00:00,31.36365999623518,26.432939966116617,26.432939966116617,4.930720030118564,initial_stop,22,-1.0000000000000002,-1.0938889174986248,1.7454529868242934,2024-12
IOST/USDT,2025-01-10 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.007651444124119452,0.00638299711707507,0.00638299711707507,0.0012684470070443827,initial_stop,4,-0.9999999999999997,-1.130866418662503,0.3552027584742316,2025-01
