symbol,entry_time,exit_time,net_r,win,bars_held,exit_reason,year
CHZ_USDT,2023-09-29 04:00:00,2023-09-30 04:00:00,-1.0,0,6,atr_stop,2023
NEAR_USDT,2023-09-30 04:00:00,2023-10-01 08:00:00,-1.0,0,7,atr_stop,2023
DOT_USDT,2023-10-01 04:00:00,2023-10-01 08:00:00,-1.0,0,1,atr_stop,2023
DOT_USDT,2023-10-01 12:00:00,2023-10-01 20:00:00,-1.0,0,2,atr_stop,2023
LTC_USDT,2023-10-16 16:00:00,2023-10-19 04:00:00,2.1246,1,15,time_exit,2023
ETH_USDT,2023-10-16 20:00:00,2023-10-19 08:00:00,1.5066,1,15,time_exit,2023
DOGE_USDT,2023-10-20 16:00:00,2023-10-21 12:00:00,-1.0,0,5,atr_stop,2023
DOT_USDT,2023-10-21 12:00:00,2023-10-21 16:00:00,-1.0,0,1,atr_stop,2023
UNI_USDT,2023-10-22 20:00:00,2023-10-23 00:00:00,-1.0,0,1,atr_stop,2023
ZEC_USDT,2024-01-11 04:00:00,2024-01-13 16:00:00,0.0189,1,15,time_exit,2024
BTC_USDT,2024-01-26 16:00:00,2024-01-29 04:00:00,0.0233,1,15,time_exit,2024
